Opis,Kategoria
Ryzyko porażenia prądem z uszkodzonej skrzynki energetycznej,Niebezpieczne sytuacje
Brak oświetlenia na klatce schodowej w bloku,Niebezpieczne sytuacje
Niewidoczni piesi wchodzący na drogę zza ekranów akustycznych,Zagrożenia dla pieszych i uczestników ruchu
Kleszcze na terenach rekreacyjnych i w parkach,Zagrożenia biologiczne
Zderzenie z łosiem na drodze leśnej,Wypadki drogowe
Upadek motocyklisty na plamie oleju,Wypadki drogowe
Niezabezpieczone rusztowanie przy remontowanej kamienicy,Niebezpieczne sytuacje
Wspinanie się na słupy wysokiego napięcia,Niebezpieczne sytuacje
Odsłonięte kable elektryczne przy uszkodzonej latarni,Niebezpieczne sytuacje
Samochód który wjechał w witrynę sklepu,Wypadki drogowe
Wyrzucanie odpadów gastronomicznych z restauracji do lasu,Zaśmiecanie i nielegalne wysypiska
Pieszy idący środkiem ścieżki rowerowej,Zachowania uczestników ruchu (kierowcy i piesi)
Samochody parkujące na ścieżce rowerowej,Zagrożenia dla pieszych i uczestników ruchu
Ktoś regularnie niszczy oświetlenie na klatce schodowej,Wandalizm
Woda zalegająca na jezdni tworząca niebezpieczny aquaplaning,Zagrożenia dla pieszych i uczestników ruchu
Źle zaprojektowany wyjazd z posesji z ograniczoną widocznością,Zagrożenia dla pieszych i uczestników ruchu
W nocy słychać wycie alarmu samochodowego od kilku godzin,Pozostałe (inne)
Zużyty sprzęt AGD porzucony nad rzeką,Zaśmiecanie i nielegalne wysypiska
Piesi idący po torach tramwajowych zamiast po chodniku,Zachowania uczestników ruchu (kierowcy i piesi)
Kolizja z udziałem taksówki i samochodu prywatnego,Wypadki drogowe
Bazgroły na ścianie kamienicy przy ulicy Grodzkiej,Wandalizm
Obumarłe drzewo zainfekowane grzybem zagrażające zawaleniem,Zagrożenia biologiczne
Zapadnięty fragment chodnika tworzący głęboką dziurę,Niebezpieczne sytuacje
Teren wokół pustostanu zamienił się w wysypisko śmieci,Zaśmiecanie i nielegalne wysypiska
Teren wokół kontenerów na odzież używaną jest bardzo zaśmiecony,Zaśmiecanie i nielegalne wysypiska
Głośna impreza u sąsiadów w środku nocy,Pozostałe (inne)
Pozostawianie butelek i opakowań przez wędkarzy nad wodą,Zaśmiecanie i nielegalne wysypiska
Ktoś wrzucił hulajnogę elektryczną do rzeki,Wandalizm
Gniazdo szerszeni w skrzynce gazowej,Niebezpieczne sytuacje
Zniszczony stojak na rowery,Wandalizm
Wyrzucanie przeterminowanych leków do kanalizacji,Zaśmiecanie i nielegalne wysypiska
Potrzebna jest naprawa nawierzchni na moście Grunwaldzkim,Infrastruktura drogowa i chodniki
Złamana barierka przy schodach nad Wisłą,Wandalizm
Zatrucie pokarmowe w stołówce szkolnej,Zagrożenia biologiczne
Nieprawidłowe składowanie butli z gazem w piwnicy,Niebezpieczne sytuacje
Brak wiaty przystankowej chroniącej przed deszczem,Infrastruktura drogowa i chodniki
Odpady chemiczne porzucone w lesie,Zaśmiecanie i nielegalne wysypiska
Zderzenie boczne przy zmianie pasa ruchu,Wypadki drogowe
Agresywne zachowanie kierowcy krzyki i groźby,Zachowania uczestników ruchu (kierowcy i piesi)
